epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,10563.4,0.15233,0.47837,0.94156,0.99949,0.99947,0.995,0.97303,0.40377,0.31649,0.60633,0.007723,0.007723,0.007723
117,10809,0.15201,0.47516,0.94094,0.99956,0.99939,0.995,0.97258,0.40772,0.31785,0.60977,0.0077032,0.0077032,0.0077032
118,11054.4,0.14928,0.46767,0.93932,0.99957,0.99939,0.995,0.97332,0.40979,0.31824,0.60884,0.0076834,0.0076834,0.0076834
119,11299.9,0.14905,0.46778,0.93912,0.99957,0.99956,0.995,0.9761,0.40798,0.3139,0.60299,0.0076636,0.0076636,0.0076636
120,11545.2,0.14993,0.46918,0.93886,0.99953,0.99963,0.995,0.97711,0.40457,0.30768,0.59514,0.0076438,0.0076438,0.0076438
121,11790.6,0.1497,0.46197,0.93894,0.99955,0.99965,0.995,0.98063,0.3982,0.29849,0.58455,0.007624,0.007624,0.007624
122,12035.9,0.15103,0.46805,0.94236,0.99954,0.99976,0.995,0.98096,0.39837,0.29641,0.58214,0.0076042,0.0076042,0.0076042
123,12281.4,0.14849,0.46816,0.93939,0.99957,0.99974,0.995,0.98252,0.39847,0.29425,0.58,0.0075844,0.0075844,0.0075844
124,12526.8,0.14791,0.46614,0.9382,0.99959,0.99973,0.995,0.98449,0.39517,0.28845,0.57337,0.0075646,0.0075646,0.0075646
125,12772.1,0.15023,0.46496,0.94028,0.99959,0.9997,0.995,0.98591,0.39301,0.28489,0.567,0.0075448,0.0075448,0.0075448
126,13017.4,0.14869,0.46536,0.93956,0.99958,0.99969,0.995,0.98786,0.39145,0.28386,0.56229,0.007525,0.007525,0.007525
127,13262.7,0.14833,0.46063,0.94074,0.99956,0.99967,0.995,0.98892,0.39002,0.28239,0.55685,0.0075052,0.0075052,0.0075052
128,13508.2,0.14836,0.46161,0.939,0.99957,0.99966,0.995,0.99078,0.38532,0.27764,0.54789,0.0074854,0.0074854,0.0074854
129,13753.7,0.14963,0.46439,0.93998,0.99957,0.99968,0.995,0.99184,0.3786,0.26782,0.53665,0.0074656,0.0074656,0.0074656
130,13999.1,0.14909,0.46408,0.93904,0.99959,0.9996,0.995,0.99172,0.3776,0.26659,0.53232,0.0074458,0.0074458,0.0074458
131,14244.5,0.15061,0.46576,0.94037,0.99962,0.99957,0.995,0.99142,0.37472,0.26476,0.52704,0.007426,0.007426,0.007426
132,14490,0.14893,0.4615,0.93903,0.99958,0.99968,0.995,0.99155,0.37199,0.26232,0.52321,0.0074062,0.0074062,0.0074062
133,14735.6,0.15032,0.46591,0.94086,0.99957,0.99972,0.995,0.99226,0.36743,0.25772,0.51486,0.0073864,0.0073864,0.0073864
134,14981,0.14895,0.46292,0.93964,0.99956,0.99978,0.995,0.99304,0.36356,0.2542,0.50719,0.0073666,0.0073666,0.0073666
135,15226.4,0.1481,0.46509,0.93913,0.99955,0.99979,0.995,0.99378,0.35863,0.25218,0.49832,0.0073468,0.0073468,0.0073468
136,15471.9,0.14864,0.46266,0.93935,0.99955,0.9998,0.995,0.99422,0.35093,0.24405,0.48708,0.007327,0.007327,0.007327
137,15717.4,inf,0.46407,0.94039,0.99962,0.99977,0.995,0.99425,0.34429,0.23677,0.47823,0.0073072,0.0073072,0.0073072
138,15963,0.14969,0.46246,0.94068,0.99966,0.99974,0.995,0.99451,0.33928,0.23181,0.4695,0.0072874,0.0072874,0.0072874
139,16208.7,0.14861,0.46074,0.93882,0.99969,0.99972,0.995,0.99472,0.33476,0.22694,0.46135,0.0072676,0.0072676,0.0072676
140,16454.3,0.1461,0.46027,0.93787,0.99969,0.99972,0.995,0.99486,0.32891,0.21967,0.45273,0.0072478,0.0072478,0.0072478
141,16700,0.1469,0.4533,0.93864,0.9997,0.99972,0.995,0.99495,0.32339,0.21427,0.44535,0.007228,0.007228,0.007228
142,16945.6,0.14691,0.45525,0.93725,0.9997,0.99972,0.995,0.99498,0.31682,0.21168,0.4364,0.0072082,0.0072082,0.0072082
143,17191.2,0.14654,0.4525,0.93823,0.99972,0.99972,0.995,0.99498,0.30954,0.20739,0.42671,0.0071884,0.0071884,0.0071884
144,17436.8,0.14519,0.45611,0.93867,0.99972,0.99973,0.995,0.99499,0.30348,0.20532,0.41872,0.0071686,0.0071686,0.0071686
145,17682.5,0.14511,0.45234,0.93788,0.9997,0.99975,0.995,0.99499,0.29908,0.2033,0.41362,0.0071488,0.0071488,0.0071488
146,17928.2,0.14554,0.45398,0.93711,0.9997,0.99976,0.995,0.99498,0.29543,0.2021,0.40907,0.007129,0.007129,0.007129
147,18173.7,0.14538,0.45255,0.93795,0.99971,0.99977,0.995,0.99498,0.29261,0.20064,0.40559,0.0071092,0.0071092,0.0071092
